TrialNumber,Cue,FaceCategory,FaceExemplar,SceneCategory,SceneExemplar,ITI,TestPresence,FaceChange,SceneChange,Response,ReactionTime
1,1,4,90,4,7,5,1,83,7,NaN,NaN
2,2,4,92,3,22,6,0,NaN,NaN,NaN,NaN
3,2,4,67,1,10,7,1,67,44,NaN,NaN
4,2,2,45,1,48,6,0,NaN,NaN,NaN,NaN
5,2,1,58,4,52,7,1,8,29,NaN,NaN
6,1,1,83,1,65,4,0,NaN,NaN,NaN,NaN
7,1,2,10,4,1,4,0,NaN,NaN,NaN,NaN
8,1,1,23,3,29,5,1,25,19,NaN,NaN
9,1,2,92,2,48,5,1,92,55,NaN,NaN
10,2,2,71,3,40,7,1,71,40,NaN,NaN
11,2,3,28,2,10,7,1,37,10,NaN,NaN
12,1,3,26,3,38,4,0,NaN,NaN,NaN,NaN
13,1,4,9,2,22,4,0,NaN,NaN,NaN,NaN
14,2,3,83,4,2,6,0,NaN,NaN,NaN,NaN
15,1,3,39,1,42,5,1,39,42,NaN,NaN
16,2,1,82,2,23,6,0,NaN,NaN,NaN,NaN
17,2,1,20,1,35,7,0,NaN,NaN,NaN,NaN
18,1,3,46,2,7,5,1,46,36,NaN,NaN
19,2,4,41,2,31,7,0,NaN,NaN,NaN,NaN
20,2,1,48,3,35,6,1,48,35,NaN,NaN
21,2,3,70,1,20,6,1,39,49,NaN,NaN
22,1,4,32,3,4,4,0,NaN,NaN,NaN,NaN
23,1,4,76,1,44,5,1,76,50,NaN,NaN
24,2,3,42,3,45,7,0,NaN,NaN,NaN,NaN
25,1,1,21,2,27,4,0,NaN,NaN,NaN,NaN
26,1,2,2,3,58,5,1,42,58,NaN,NaN
27,1,2,16,1,31,4,0,NaN,NaN,NaN,NaN
28,2,4,20,4,3,6,1,20,57,NaN,NaN
29,2,2,1,4,31,7,0,NaN,NaN,NaN,NaN
30,2,2,20,2,62,6,1,7,62,NaN,NaN
31,1,3,12,4,43,4,0,NaN,NaN,NaN,NaN
32,1,1,62,4,12,5,1,1,12,NaN,NaN
33,1,4,41,4,31,4,1,62,25,NaN,NaN
34,2,1,21,4,43,6,1,21,43,NaN,NaN
35,1,1,20,3,45,4,1,20,15,NaN,NaN
36,1,2,20,4,3,5,0,NaN,NaN,NaN,NaN
37,2,2,16,3,4,6,1,80,4,NaN,NaN
38,1,3,70,3,35,5,0,NaN,NaN,NaN,NaN
39,2,4,32,1,31,6,1,22,31,NaN,NaN
40,1,2,1,2,31,4,1,76,42,NaN,NaN
41,2,4,76,3,58,7,0,NaN,NaN,NaN,NaN
42,1,3,42,1,35,4,1,42,32,NaN,NaN
43,1,1,48,1,20,5,0,NaN,NaN,NaN,NaN
44,2,3,12,2,27,6,1,12,27,NaN,NaN
45,2,2,2,1,44,7,0,NaN,NaN,NaN,NaN
46,2,3,46,4,12,7,0,NaN,NaN,NaN,NaN
47,1,4,20,2,62,5,0,NaN,NaN,NaN,NaN
48,2,1,62,2,7,7,0,NaN,NaN,NaN,NaN
49,1,3,28,4,52,5,0,NaN,NaN,NaN,NaN
50,2,3,39,3,29,6,0,NaN,NaN,NaN,NaN
51,1,4,67,3,40,5,0,NaN,NaN,NaN,NaN
52,1,1,58,2,10,5,0,NaN,NaN,NaN,NaN
53,1,3,83,2,23,4,1,83,51,NaN,NaN
54,2,3,26,1,65,7,1,68,65,NaN,NaN
55,1,1,82,4,2,4,1,82,2,NaN,NaN
56,2,1,23,1,42,6,0,NaN,NaN,NaN,NaN
57,2,4,9,4,1,7,1,74,64,NaN,NaN
58,1,4,92,1,48,4,1,34,22,NaN,NaN
59,2,1,83,3,38,7,1,83,38,NaN,NaN
60,2,2,92,4,7,6,0,NaN,NaN,NaN,NaN
61,2,4,90,2,48,6,0,NaN,NaN,NaN,NaN
62,1,2,45,3,22,4,1,45,22,NaN,NaN
63,1,2,71,1,10,5,0,NaN,NaN,NaN,NaN
64,2,2,10,2,22,7,1,44,37,NaN,NaN
65,1,2,71,4,52,6,1,71,18,NaN,NaN
66,1,3,28,3,40,6,1,29,2,NaN,NaN
67,2,3,42,2,31,5,0,NaN,NaN,NaN,NaN
68,2,1,20,4,31,5,0,NaN,NaN,NaN,NaN
69,2,1,48,2,62,4,1,48,13,NaN,NaN
70,1,1,82,3,22,7,0,NaN,NaN,NaN,NaN
71,2,2,20,1,20,4,1,6,20,NaN,NaN
72,2,3,70,4,3,4,1,70,3,NaN,NaN
73,2,4,20,3,35,4,1,20,35,NaN,NaN
74,2,2,1,3,45,5,0,NaN,NaN,NaN,NaN
75,1,4,92,4,2,7,0,NaN,NaN,NaN,NaN
76,2,4,41,1,35,5,0,NaN,NaN,NaN,NaN
77,1,3,83,1,48,7,0,NaN,NaN,NaN,NaN
78,1,2,45,2,23,7,0,NaN,NaN,NaN,NaN
79,1,1,58,1,10,6,1,37,10,NaN,NaN
80,1,4,67,2,10,6,1,16,18,NaN,NaN
81,2,2,2,4,12,4,1,2,52,NaN,NaN
82,1,3,26,2,22,6,0,NaN,NaN,NaN,NaN
83,1,2,92,1,42,7,1,92,46,NaN,NaN
84,2,1,21,3,4,5,0,NaN,NaN,NaN,NaN
85,1,4,90,3,29,7,1,12,29,NaN,NaN
86,2,1,62,1,44,4,1,100,44,NaN,NaN
87,1,1,23,2,48,7,1,23,4,NaN,NaN
88,1,1,83,4,1,6,0,NaN,NaN,NaN,NaN
89,1,2,10,3,38,6,0,NaN,NaN,NaN,NaN
90,2,2,16,2,27,5,0,NaN,NaN,NaN,NaN
91,2,3,46,3,58,4,1,64,34,NaN,NaN
92,2,3,12,1,31,5,0,NaN,NaN,NaN,NaN
93,2,4,32,4,43,5,0,NaN,NaN,NaN,NaN
94,1,4,9,1,65,6,0,NaN,NaN,NaN,NaN
95,2,4,76,2,7,4,1,76,7,NaN,NaN
96,1,3,39,4,7,7,1,23,7,NaN,NaN
97,2,4,9,3,38,5,1,9,5,NaN,NaN
98,1,3,46,1,44,6,0,NaN,NaN,NaN,NaN
99,2,3,26,4,1,5,1,14,1,NaN,NaN
100,1,1,21,1,31,7,1,21,31,NaN,NaN
101,2,2,10,1,65,5,1,38,58,NaN,NaN
102,1,4,32,2,27,7,1,92,27,NaN,NaN
103,1,4,76,4,12,6,0,NaN,NaN,NaN,NaN
104,2,1,83,2,22,5,1,83,49,NaN,NaN
105,1,2,2,2,7,6,0,NaN,NaN,NaN,NaN
106,2,3,39,2,48,4,0,NaN,NaN,NaN,NaN
107,2,4,90,1,42,4,0,NaN,NaN,NaN,NaN
108,2,2,92,3,29,4,0,NaN,NaN,NaN,NaN
109,1,3,12,3,4,7,1,12,16,NaN,NaN
110,1,2,16,4,43,7,1,48,43,NaN,NaN
111,1,1,62,3,58,6,0,NaN,NaN,NaN,NaN
112,2,1,23,4,7,4,0,NaN,NaN,NaN,NaN
113,2,2,45,4,2,5,1,45,27,NaN,NaN
114,1,4,41,3,45,6,1,41,45,NaN,NaN
115,2,1,58,3,40,4,0,NaN,NaN,NaN,NaN
116,2,3,28,1,10,4,0,NaN,NaN,NaN,NaN
117,1,4,20,1,20,7,0,NaN,NaN,NaN,NaN
118,1,1,20,2,31,6,1,9,31,NaN,NaN
119,2,2,71,2,10,4,0,NaN,NaN,NaN,NaN
120,2,1,82,1,48,5,1,82,61,NaN,NaN
121,1,3,70,2,62,7,0,NaN,NaN,NaN,NaN
122,2,4,67,4,52,4,0,NaN,NaN,NaN,NaN
123,1,3,42,4,31,6,1,87,31,NaN,NaN
124,1,1,48,4,3,7,0,NaN,NaN,NaN,NaN
125,1,2,20,3,35,7,0,NaN,NaN,NaN,NaN
126,2,3,83,3,22,5,1,30,22,NaN,NaN
127,2,4,92,2,23,5,1,92,3,NaN,NaN
128,1,2,1,1,35,6,1,4,8,NaN,NaN
129,1,3,28,2,10,4,0,NaN,NaN,NaN,NaN
130,1,4,67,1,10,4,0,NaN,NaN,NaN,NaN
131,2,3,26,3,38,5,1,5,6,NaN,NaN
132,1,2,45,1,48,7,1,45,48,NaN,NaN
133,1,2,71,3,40,4,0,NaN,NaN,NaN,NaN
134,2,3,39,1,42,6,0,NaN,NaN,NaN,NaN
135,1,1,58,4,52,4,0,NaN,NaN,NaN,NaN
136,1,3,83,4,2,7,1,83,2,NaN,NaN
137,2,1,23,3,29,6,0,NaN,NaN,NaN,NaN
138,2,2,10,4,1,5,1,19,55,NaN,NaN
139,1,4,92,3,22,7,1,92,22,NaN,NaN
140,2,2,92,2,48,6,0,NaN,NaN,NaN,NaN
141,2,4,90,4,7,6,0,NaN,NaN,NaN,NaN
142,2,4,9,2,22,5,1,65,32,NaN,NaN
143,1,1,82,2,23,7,1,82,23,NaN,NaN
144,2,1,83,1,65,5,1,50,50,NaN,NaN
145,2,4,32,3,4,5,1,81,4,NaN,NaN
146,2,4,76,1,44,6,0,NaN,NaN,NaN,NaN
147,2,3,46,2,7,6,0,NaN,NaN,NaN,NaN
148,1,4,20,4,3,7,0,NaN,NaN,NaN,NaN
149,1,1,20,1,35,4,1,20,19,NaN,NaN
150,1,4,41,2,31,4,1,41,31,NaN,NaN
151,2,2,2,3,58,6,0,NaN,NaN,NaN,NaN
152,2,2,16,1,31,5,1,63,31,NaN,NaN
153,2,3,12,4,43,5,1,6,43,NaN,NaN
154,2,1,21,2,27,5,1,21,33,NaN,NaN
155,1,3,70,1,20,7,0,NaN,NaN,NaN,NaN
156,1,3,42,3,45,4,1,48,4,NaN,NaN
157,1,1,48,3,35,7,0,NaN,NaN,NaN,NaN
158,1,2,1,4,31,4,1,1,27,NaN,NaN
159,1,2,20,2,62,7,0,NaN,NaN,NaN,NaN
160,2,1,62,4,12,6,0,NaN,NaN,NaN,NaN
161,2,3,70,3,35,6,1,70,35,NaN,NaN
162,1,2,16,3,4,7,0,NaN,NaN,NaN,NaN
163,2,2,20,4,3,6,1,20,3,NaN,NaN
164,2,1,20,3,45,5,0,NaN,NaN,NaN,NaN
165,1,2,2,1,44,4,1,88,44,NaN,NaN
166,1,3,46,4,12,4,1,47,3,NaN,NaN
167,2,3,42,1,35,5,0,NaN,NaN,NaN,NaN
168,2,4,20,2,62,6,1,20,24,NaN,NaN
169,2,1,48,1,20,6,1,48,19,NaN,NaN
170,1,1,62,2,7,4,1,68,26,NaN,NaN
171,1,3,12,2,27,7,0,NaN,NaN,NaN,NaN
172,2,4,41,4,31,5,0,NaN,NaN,NaN,NaN
173,1,4,32,1,31,7,0,NaN,NaN,NaN,NaN
174,2,2,1,2,31,5,0,NaN,NaN,NaN,NaN
175,1,4,76,3,58,4,1,63,58,NaN,NaN
176,1,1,21,4,43,7,0,NaN,NaN,NaN,NaN
177,1,2,10,2,22,4,0,NaN,NaN,NaN,NaN
178,1,4,9,4,1,4,0,NaN,NaN,NaN,NaN
179,2,1,58,2,10,6,1,58,10,NaN,NaN
180,1,1,83,3,38,4,0,NaN,NaN,NaN,NaN
181,2,2,45,3,22,5,0,NaN,NaN,NaN,NaN
182,2,3,28,4,52,6,1,38,40,NaN,NaN
183,1,2,92,4,7,7,1,92,7,NaN,NaN
184,1,1,23,1,42,7,1,18,2,NaN,NaN
185,1,3,26,1,65,4,0,NaN,NaN,NaN,NaN
186,2,3,83,2,23,5,0,NaN,NaN,NaN,NaN
187,2,4,67,3,40,6,1,2,3,NaN,NaN
188,1,4,90,2,48,7,1,90,42,NaN,NaN
189,1,3,39,3,29,7,1,39,29,NaN,NaN
190,2,4,92,1,48,5,0,NaN,NaN,NaN,NaN
191,2,2,71,1,10,6,1,41,10,NaN,NaN
192,2,1,82,4,2,5,0,NaN,NaN,NaN,NaN
193,1,1,48,2,62,5,0,NaN,NaN,NaN,NaN
194,1,4,20,3,35,5,0,NaN,NaN,NaN,NaN
195,2,3,28,3,40,7,0,NaN,NaN,NaN,NaN
196,1,2,1,3,45,6,1,18,4,NaN,NaN
197,2,1,82,3,22,4,1,82,22,NaN,NaN
198,2,2,71,4,52,7,0,NaN,NaN,NaN,NaN
199,2,4,92,4,2,4,1,72,43,NaN,NaN
200,1,2,20,1,20,5,0,NaN,NaN,NaN,NaN
201,2,1,58,1,10,7,0,NaN,NaN,NaN,NaN
202,2,4,67,2,10,7,0,NaN,NaN,NaN,NaN
203,1,3,42,2,31,6,1,42,33,NaN,NaN
204,1,3,70,4,3,5,0,NaN,NaN,NaN,NaN
205,2,2,45,2,23,4,1,13,23,NaN,NaN
206,1,1,20,4,31,6,1,35,31,NaN,NaN
207,1,4,41,1,35,6,1,41,63,NaN,NaN
208,2,3,83,1,48,4,1,83,48,NaN,NaN
209,1,2,16,2,27,6,1,74,27,NaN,NaN
210,1,4,32,4,43,6,1,32,33,NaN,NaN
211,2,1,83,4,1,7,1,83,1,NaN,NaN
212,1,3,12,1,31,6,1,85,31,NaN,NaN
213,2,3,26,2,22,7,1,26,67,NaN,NaN
214,1,4,76,2,7,5,0,NaN,NaN,NaN,NaN
215,2,4,90,3,29,4,0,NaN,NaN,NaN,NaN
216,2,1,23,2,48,4,0,NaN,NaN,NaN,NaN
217,2,2,92,1,42,4,0,NaN,NaN,NaN,NaN
218,2,2,10,3,38,7,1,10,62,NaN,NaN
219,2,4,9,1,65,7,1,75,65,NaN,NaN
220,1,2,2,4,12,5,0,NaN,NaN,NaN,NaN
221,2,3,39,4,7,4,0,NaN,NaN,NaN,NaN
222,1,1,21,3,4,6,1,28,54,NaN,NaN
223,1,1,62,1,44,5,0,NaN,NaN,NaN,NaN
224,1,3,46,3,58,5,0,NaN,NaN,NaN,NaN
225,2,2,16,4,43,4,0,NaN,NaN,NaN,NaN
226,2,2,2,2,7,7,1,2,54,NaN,NaN
227,1,1,23,4,7,5,1,8,62,NaN,NaN
228,2,3,46,1,44,7,1,79,43,NaN,NaN
229,1,4,90,1,42,5,1,69,42,NaN,NaN
230,1,1,83,2,22,6,0,NaN,NaN,NaN,NaN
231,2,1,21,1,31,4,0,NaN,NaN,NaN,NaN
232,1,3,39,2,48,5,1,39,48,NaN,NaN
233,1,4,9,3,38,6,0,NaN,NaN,NaN,NaN
234,1,2,92,3,29,5,1,44,29,NaN,NaN
235,1,3,26,4,1,6,0,NaN,NaN,NaN,NaN
236,2,4,32,2,27,4,0,NaN,NaN,NaN,NaN
237,2,4,76,4,12,7,1,76,12,NaN,NaN
238,2,1,62,3,58,7,1,62,51,NaN,NaN
239,2,3,12,3,4,4,0,NaN,NaN,NaN,NaN
240,1,2,10,1,65,6,0,NaN,NaN,NaN,NaN
241,2,4,20,1,20,4,1,34,20,NaN,NaN
242,2,1,48,4,3,4,1,100,3,NaN,NaN
243,2,2,20,3,35,4,1,73,35,NaN,NaN
244,1,4,67,4,52,5,1,67,5,NaN,NaN
245,2,4,41,3,45,7,0,NaN,NaN,NaN,NaN
246,1,2,45,4,2,6,0,NaN,NaN,NaN,NaN
247,2,3,42,4,31,7,0,NaN,NaN,NaN,NaN
248,1,4,92,2,23,6,0,NaN,NaN,NaN,NaN
249,2,3,70,2,62,4,1,35,25,NaN,NaN
250,1,3,28,1,10,5,1,28,19,NaN,NaN
251,1,2,71,2,10,5,1,71,3,NaN,NaN
252,1,1,82,1,48,6,0,NaN,NaN,NaN,NaN
253,1,3,83,3,22,6,0,NaN,NaN,NaN,NaN
254,2,2,1,1,35,7,0,NaN,NaN,NaN,NaN
255,1,1,58,3,40,5,1,58,40,NaN,NaN
